,nombre,marca,precio,color,talla,disponible,categoria
144,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,marrón,XL,True,midi
145,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,verde,XS,True,largo
146,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,verde,S,True,largo
147,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,verde,M,True,largo
148,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,verde,L,True,largo
149,vestido largo verde oscuro con cuello alto y abertura en el lateral de punto de mango,Mango,59.99,verde,XL,True,largo
150,vestido corto gris medio de satén de la colección cápsula de mango,Mango,179.99,gris,XS,True,corto
151,vestido corto gris medio de satén de la colección cápsula de mango,Mango,179.99,gris,S,True,corto
152,vestido corto gris medio de satén de la colección cápsula de mango,Mango,179.99,gris,M,True,corto
153,vestido corto gris medio de satén de la colección cápsula de mango,Mango,179.99,gris,L,True,corto
154,vestido midi beis de manga corta de mango,Mango,59.99,beige,XS,True,midi
155,vestido midi beis de manga corta de mango,Mango,59.99,beige,S,True,midi
156,vestido midi beis de manga corta de mango,Mango,59.99,beige,M,True,midi
157,vestido midi beis de manga corta de mango,Mango,59.99,beige,L,True,midi
158,vestido midi beis de manga corta de mango,Mango,59.99,beige,XL,True,midi
159,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,rojo,XS,True,midi
160,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,rojo,S,True,midi
161,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,rojo,M,True,midi
162,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,rojo,L,True,midi
163,vestido midi rojo con estampado de cuadros y cuello desbocado de mango,Mango,99.99,rojo,XL,True,midi
164,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,blanco,XS,True,midi
165,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,blanco,S,True,midi
166,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,blanco,M,True,midi
167,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,blanco,L,True,midi
168,vestido midi blanco de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,blanco,XL,True,midi
169,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,negro,XS,True,midi
170,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,negro,S,True,midi
171,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,negro,M,True,midi
172,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,negro,L,True,midi
173,vestido midi negro de manga con detalle de cinturón de mango,Mango,59.99,negro,XL,True,midi
174,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,marrón,XS,True,midi
175,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,marrón,S,True,midi
176,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,marrón,M,True,midi
177,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,marrón,L,True,midi
178,vestido midi marrón de manga larga con cuello alto de canalé de mango,Mango,59.99,marrón,XL,True,midi
179,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,negro,XS,True,midi
180,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,negro,S,True,midi
181,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,negro,M,True,midi
182,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,negro,L,True,midi
183,vestido midi negro de manga larga con cuello alto de canalé de mango,Mango,59.99,negro,XL,True,midi
184,vestido largo negro con detalle de abertura en la espalda de mango,Mango,129.99,negro,S,True,largo
185,vestido largo negro con detalle de abertura en la espalda de mango,Mango,129.99,negro,M,True,largo
186,vestido largo negro con detalle de abertura en la espalda de mango,Mango,129.99,negro,L,True,largo
187,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,gris,XS,True,largo
188,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,gris,S,True,largo
189,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,gris,M,True,largo
190,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,gris,L,True,largo
191,vestido largo gris con cuello alto y avertura lateral de punto de mango,Mango,59.99,gris,XL,True,largo
192,"vestido corto con estampado de leopardo, vuelo y escote bardot de mango",Mango,69.99,marrón,XS,True,corto
193,"vestido corto con estampado de leopardo, vuelo y escote bardot de mango",Mango,69.99,marrón,S,True,corto
194,"vestido corto con estampado de leopardo, vuelo y escote bardot de mango",Mango,69.99,marrón,M,True,corto
195,"vestido corto con estampado de leopardo, vuelo y escote bardot de mango",Mango,69.99,marrón,L,True,corto
196,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,azul,XS,True,corto
197,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,azul,S,True,corto
198,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,azul,M,True,corto
199,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,azul,L,True,corto
200,vestido de sastre corto azul marino con trabilla de botones de mango,Mango,99.99,azul,XL,True,corto
201,vestido midi blanco con bajo de encaje de mango,Mango,99.99,blanco,XS,True,midi
202,vestido midi blanco con bajo de encaje de mango,Mango,99.99,blanco,S,True,midi
203,vestido midi blanco con bajo de encaje de mango,Mango,99.99,blanco,M,True,midi
204,vestido midi blanco con bajo de encaje de mango,Mango,99.99,blanco,L,True,midi
205,vestido midi blanco con bajo de encaje de mango,Mango,99.99,blanco,XL,True,midi
206,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,marrón,XS,True,largo
207,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,marrón,S,True,largo
208,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,marrón,M,True,largo
209,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,marrón,L,True,largo
210,vestido largo marrón oscuro sin mangas con pespuntes en los bordes de mango,Mango,99.99,marrón,XL,True,largo
