,nombre,marca,precio,color,talla,stock,categoria
323,strapless wide-leg jumpsuit,2,54.99,negro,S,70.0,4
324,strapless wide-leg jumpsuit,2,54.99,negro,M,60.0,4
325,strapless wide-leg jumpsuit,2,54.99,negro,L,38.0,4
326,strapless wide-leg jumpsuit,2,54.99,negro,XL,30.0,4
327,twist-front cutout mini dress,2,34.99,negro,XS,39.0,3
328,twist-front cutout mini dress,2,34.99,negro,S,90.0,3
329,twist-front cutout mini dress,2,34.99,negro,M,78.0,3
330,twist-front cutout mini dress,2,34.99,negro,L,52.0,3
331,twist-front cutout mini dress,2,34.99,negro,XL,38.0,3
332,contour sculpt rhinestone mini dress,2,39.99,negro,XS,30.0,3
333,contour sculpt rhinestone mini dress,2,39.99,negro,S,70.0,3
334,contour sculpt rhinestone mini dress,2,39.99,negro,M,60.0,3
335,contour sculpt rhinestone mini dress,2,39.99,negro,L,40.0,3
336,contour sculpt rhinestone mini dress,2,39.99,negro,XL,30.0,3
337,plus size sweetheart mini tube dress,2,29.99,negro,XXL,34.0,3
338,plus size sweetheart mini tube dress,2,29.99,negro,3XL,51.0,3
339,plus size sweetheart mini tube dress,2,29.99,negro,4XL,50.0,3
340,plus size sweetheart mini tube dress,2,29.99,negro,5XL,51.0,3
341,plus size sweetheart mini tube dress,2,29.99,negro,6XL,17.0,3
342,plus size faux gem midi sweater dress,2,44.99,beige,XXL,30.0,1
343,plus size faux gem midi sweater dress,2,44.99,beige,3XL,45.0,1
344,plus size faux gem midi sweater dress,2,44.99,beige,4XL,45.0,1
345,plus size faux gem midi sweater dress,2,44.99,beige,5XL,45.0,1
346,plus size faux gem midi sweater dress,2,44.99,beige,6XL,15.0,1
347,plus size faux gem midi sweater dress,2,44.99,negro,XXL,33.0,1
348,plus size faux gem midi sweater dress,2,44.99,negro,3XL,51.0,1
349,plus size faux gem midi sweater dress,2,44.99,negro,4XL,51.0,1
350,plus size faux gem midi sweater dress,2,44.99,negro,5XL,51.0,1
351,plus size faux gem midi sweater dress,2,44.99,negro,6XL,16.0,1
352,one-shoulder bow mini tube dress,2,34.99,blanco,S,40.0,3
353,one-shoulder bow mini tube dress,2,34.99,blanco,M,83.0,3
354,one-shoulder bow mini tube dress,2,34.99,blanco,L,84.0,3
355,one-shoulder bow mini tube dress,2,34.99,blanco,XL,42.0,3
356,one-shoulder bow mini tube dress,2,34.99,negro,S,30.0,3
357,one-shoulder bow mini tube dress,2,34.99,negro,M,65.0,3
358,one-shoulder bow mini tube dress,2,34.99,negro,L,65.0,3
359,one-shoulder bow mini tube dress,2,34.99,negro,XL,33.0,3
360,sheer flocked paisley maxi dress,2,44.99,negro,XS,30.0,2
361,sheer flocked paisley maxi dress,2,44.99,negro,S,70.0,2
362,sheer flocked paisley maxi dress,2,44.99,negro,M,60.0,2
363,sheer flocked paisley maxi dress,2,44.99,negro,L,40.0,2
364,sheer flocked paisley maxi dress,2,44.99,negro,XL,29.0,2
365,sheer flocked paisley maxi dress,2,44.99,rojo,XS,48.0,2
366,sheer flocked paisley maxi dress,2,44.99,rojo,S,115.0,2
367,sheer flocked paisley maxi dress,2,44.99,rojo,M,98.0,2
368,sheer flocked paisley maxi dress,2,44.99,rojo,L,66.0,2
369,sheer flocked paisley maxi dress,2,44.99,rojo,XL,49.0,2
370,rhinestone buckled mini dress,2,39.99,negro,XS,30.0,3
371,rhinestone buckled mini dress,2,39.99,negro,S,70.0,3
372,rhinestone buckled mini dress,2,39.99,negro,M,60.0,3
373,rhinestone buckled mini dress,2,39.99,negro,L,39.0,3
374,rhinestone buckled mini dress,2,39.99,negro,XL,30.0,3
375,jacquard floral halter mini dress,2,29.99,negro,XS,28.0,3
376,jacquard floral halter mini dress,2,29.99,negro,S,92.0,3
377,jacquard floral halter mini dress,2,29.99,negro,M,47.0,3
378,jacquard floral halter mini dress,2,29.99,negro,L,64.0,3
379,jacquard floral halter mini dress,2,29.99,negro,XL,39.0,3
380,jacquard floral halter mini dress,2,29.99,granate,XS,30.0,3
381,jacquard floral halter mini dress,2,29.99,granate,S,69.0,3
382,jacquard floral halter mini dress,2,29.99,granate,M,60.0,3
383,jacquard floral halter mini dress,2,29.99,granate,L,40.0,3
384,jacquard floral halter mini dress,2,29.99,granate,XL,30.0,3
385,velour bodycon cami mini dress,2,24.99,negro,XS,48.0,3
386,velour bodycon cami mini dress,2,24.99,negro,S,112.0,3
387,velour bodycon cami mini dress,2,24.99,negro,M,96.0,3
388,velour bodycon cami mini dress,2,24.99,negro,L,64.0,3
389,velour bodycon cami mini dress,2,24.99,negro,XL,48.0,3
390,velour bodycon cami mini dress,2,24.99,verde,XS,36.0,3
391,velour bodycon cami mini dress,2,24.99,verde,S,84.0,3
392,velour bodycon cami mini dress,2,24.99,verde,M,72.0,3
393,velour bodycon cami mini dress,2,24.99,verde,L,48.0,3
394,velour bodycon cami mini dress,2,24.99,verde,XL,35.0,3
395,ruched rosette plunging maxi dress,2,44.99,negro,XS,39.0,2
396,ruched rosette plunging maxi dress,2,44.99,negro,S,91.0,2
397,ruched rosette plunging maxi dress,2,44.99,negro,M,78.0,2
398,ruched rosette plunging maxi dress,2,44.99,negro,L,52.0,2
399,ruched rosette plunging maxi dress,2,44.99,negro,XL,39.0,2
400,organza bubble-hem mini dress,2,34.99,negro,XS,69.0,3
401,organza bubble-hem mini dress,2,34.99,negro,S,161.0,3
402,organza bubble-hem mini dress,2,34.99,negro,M,138.0,3
403,organza bubble-hem mini dress,2,34.99,negro,L,92.0,3
404,organza bubble-hem mini dress,2,34.99,negro,XL,68.0,3
405,lace & mesh combo mini dress,2,29.99,verde,XS,51.0,3
406,lace & mesh combo mini dress,2,29.99,verde,S,119.0,3
407,lace & mesh combo mini dress,2,29.99,verde,M,102.0,3
408,lace & mesh combo mini dress,2,29.99,verde,L,68.0,3
409,lace & mesh combo mini dress,2,29.99,verde,XL,51.0,3
410,tiered floral tie-back mini dress,2,39.99,negro,XS,59.0,3
411,tiered floral tie-back mini dress,2,39.99,negro,S,138.0,3
412,tiered floral tie-back mini dress,2,39.99,negro,M,119.0,3
413,tiered floral tie-back mini dress,2,39.99,negro,L,77.0,3
414,tiered floral tie-back mini dress,2,39.99,negro,XL,57.0,3
415,sequin holly jolly t-shirt dress,2,39.99,rojo/blanco,S,299.0,4
416,sequin holly jolly t-shirt dress,2,39.99,rojo/blanco,M,299.0,4
417,sequin holly jolly t-shirt dress,2,39.99,rojo/blanco,L,298.0,4
418,sequin holly jolly t-shirt dress,2,39.99,rojo/blanco,XL,298.0,4
419,asymmetrical rhinestone mini dress,2,39.99,beige,S,84.0,3
420,asymmetrical rhinestone mini dress,2,39.99,beige,M,42.0,3
421,asymmetrical rhinestone mini dress,2,39.99,beige,L,42.0,3
422,sequin santa baby t-shirt dress,2,39.99,rojo/blanco,S,299.0,4
423,sequin santa baby t-shirt dress,2,39.99,rojo/blanco,M,299.0,4
424,sequin santa baby t-shirt dress,2,39.99,rojo/blanco,L,299.0,4
425,sequin santa baby t-shirt dress,2,39.99,rojo/blanco,XL,299.0,4
426,mesh floral print romper,2,24.99,negro,S,54.0,4
427,mesh floral print romper,2,24.99,negro,M,53.0,4
