,nombre,marca,precio,color,talla,categoria
167,Vestido Midi Tactel Cutout,Natural by Lila,39.95,sin definir,M,largo
168,Vestido Corsé Premium,Natural by Lila,89.95,sin definir,S,largo
169,Vestido Corsé Premium,Natural by Lila,89.95,sin definir,M,largo
170,Vestido Asimétrico con Foulard,Natural by Lila,49.95,sin definir,S,largo
171,Vestido Asimétrico con Foulard,Natural by Lila,49.95,sin definir,M,largo
172,Vestido Asimétrico Flor,Natural by Lila,49.95,sin definir,S,largo
173,Vestido Asimétrico Flor,Natural by Lila,49.95,sin definir,M,largo
174,Vestido Asimétrico Cebra,Natural by Lila,49.95,sin definir,S,largo
175,Vestido Asimétrico Cebra,Natural by Lila,49.95,sin definir,M,largo
176,Vestido Greek,Natural by Lila,69.95,sin definir,S,largo
177,Vestido Greek,Natural by Lila,69.95,sin definir,L,largo
178,Vestido Greek,Natural by Lila,69.95,sin definir,M,largo
179,Vestido con Gasa Asimétrica,Natural by Lila,44.95,sin definir,S,largo
180,Vestido con Gasa Asimétrica,Natural by Lila,44.95,sin definir,M,largo
181,Vestido Rosas,Natural by Lila,45.95,sin definir,S,largo
182,Vestido Rosas,Natural by Lila,45.95,sin definir,M,largo
183,Vestido Lara,Natural by Lila,49.95,sin definir,S,largo
184,Vestido Lara,Natural by Lila,49.95,sin definir,M,largo
185,Vestido Cuore,Natural by Lila,49.95,sin definir,S,largo
186,Vestido Cuore,Natural by Lila,49.95,sin definir,M,largo
187,Vestido Ocean,Natural by Lila,49.95,sin definir,S,largo
188,Vestido Ocean,Natural by Lila,49.95,sin definir,M,largo
189,Vestido Gasa Tiedye Halter,Natural by Lila,39.95,sin definir,S,largo
190,Vestido Gasa Tiedye Halter,Natural by Lila,39.95,sin definir,M,largo
191,Vestido Boho Dalt Vila,Natural by Lila,114.95,sin definir,S,largo
192,Vestido Boho Dalt Vila,Natural by Lila,114.95,sin definir,L,largo
193,Vestido Boho Dalt Vila,Natural by Lila,114.95,sin definir,M,largo
194,Vestido Cutout Drapeado Lurex,Natural by Lila,36.95,sin definir,S,largo
195,Vestido Elástico Detalle Acero,Natural by Lila,69.95,sin definir,S,largo
196,Vestido Elástico Detalle Acero,Natural by Lila,69.95,sin definir,M,largo
197,Vestido Hombreras Estampado Lila,Natural by Lila,39.95,sin definir,S,largo
198,Vestido Hombreras Estampado Lila,Natural by Lila,39.95,sin definir,M,largo
199,Vestido Kyoto,Natural by Lila,59.95,sin definir,S,largo
200,Vestido Kyoto,Natural by Lila,59.95,sin definir,M,largo
201,Vestido Largo con Cola,Natural by Lila,99.0,sin definir,S,largo
