,nombre,marca,precio,color,talla,categoria
233,ruched two-tone mini tube dress,Forever21,34.99,negro,S,mini
234,ruched two-tone mini tube dress,Forever21,34.99,negro,M,mini
235,ruched two-tone mini tube dress,Forever21,34.99,negro,L,mini
236,ruched two-tone mini tube dress,Forever21,34.99,negro,XL,mini
237,sweetheart bodycon mini dress,Forever21,34.99,negro,XS,mini
238,sweetheart bodycon mini dress,Forever21,34.99,negro,S,mini
239,sweetheart bodycon mini dress,Forever21,34.99,negro,M,mini
240,sweetheart bodycon mini dress,Forever21,34.99,negro,L,mini
241,sweetheart bodycon mini dress,Forever21,34.99,negro,XL,mini
242,off-the-shoulder corset mini dress,Forever21,39.99,negro,XS,mini
243,off-the-shoulder corset mini dress,Forever21,39.99,negro,S,mini
244,off-the-shoulder corset mini dress,Forever21,39.99,negro,M,mini
245,off-the-shoulder corset mini dress,Forever21,39.99,negro,L,mini
246,off-the-shoulder corset mini dress,Forever21,39.99,negro,XL,mini
247,plus size glitter knit midi dress,Forever21,39.99,plata,XXL,midi
248,plus size glitter knit midi dress,Forever21,39.99,plata,3XL,midi
249,plus size glitter knit midi dress,Forever21,39.99,plata,4XL,midi
250,plus size glitter knit midi dress,Forever21,39.99,plata,5XL,midi
251,plus size glitter knit midi dress,Forever21,39.99,plata,6XL,midi
252,plus size halter m-slit mini dress,Forever21,39.99,negro,XXL,mini
253,plus size halter m-slit mini dress,Forever21,39.99,negro,3XL,mini
254,plus size halter m-slit mini dress,Forever21,39.99,negro,4XL,mini
255,plus size halter m-slit mini dress,Forever21,39.99,negro,5XL,mini
256,plus size halter m-slit mini dress,Forever21,39.99,negro,6XL,mini
257,belted mini sweater dress,Forever21,44.99,negro,XS,mini
258,belted mini sweater dress,Forever21,44.99,negro,S,mini
259,belted mini sweater dress,Forever21,44.99,negro,M,mini
260,belted mini sweater dress,Forever21,44.99,negro,L,mini
261,belted mini sweater dress,Forever21,44.99,negro,XL,mini
262,belted mini sweater dress,Forever21,44.99,gris,XS,mini
263,belted mini sweater dress,Forever21,44.99,gris,S,mini
264,belted mini sweater dress,Forever21,44.99,gris,M,mini
265,belted mini sweater dress,Forever21,44.99,gris,L,mini
266,belted mini sweater dress,Forever21,44.99,gris,XL,mini
267,belted mini sweater dress,Forever21,44.99,beige,XS,mini
268,belted mini sweater dress,Forever21,44.99,beige,S,mini
269,belted mini sweater dress,Forever21,44.99,beige,M,mini
270,belted mini sweater dress,Forever21,44.99,beige,L,mini
271,belted mini sweater dress,Forever21,44.99,beige,XL,mini
272,sheer lace bodycon mini dress,Forever21,29.99,negro,XS,mini
273,sheer lace bodycon mini dress,Forever21,29.99,negro,S,mini
274,sheer lace bodycon mini dress,Forever21,29.99,negro,M,mini
275,sheer lace bodycon mini dress,Forever21,29.99,negro,L,mini
276,sheer lace bodycon mini dress,Forever21,29.99,negro,XL,mini
277,sheer lace bodycon mini dress,Forever21,29.99,granate,XS,mini
278,sheer lace bodycon mini dress,Forever21,29.99,granate,S,mini
