,nombre,marca,precio,color,talla,categoria
227,vestido playero corto blanco cruzado en la parte delantera de algodón de vero moda,VeroModa,47.0,snow white,S,corto
228,vestido playero corto blanco cruzado en la parte delantera de algodón de vero moda,VeroModa,47.0,snow white,M,corto
229,vestido playero corto blanco cruzado en la parte delantera de algodón de vero moda,VeroModa,47.0,snow white,L,corto
230,vestido playero corto blanco cruzado en la parte delantera de algodón de vero moda,VeroModa,47.0,snow white,XL,corto
231,vestido playero corto blanco cruzado en la parte delantera de algodón de vero moda,VeroModa,47.0,snow white,XXL,corto
232,vestido midi color crema estilo jersey de punto de vero moda petite,VeroModa,63.0,cream,XXL,midi
233,vestido midi color crema estilo jersey de punto de vero moda petite,VeroModa,63.0,cream,XXS,midi
234,vestido midi color crema estilo jersey de punto de vero moda petite,VeroModa,63.0,cream,XS,midi
235,vestido midi color crema estilo jersey de punto de vero moda petite,VeroModa,63.0,cream,S,midi
236,vestido midi color crema estilo jersey de punto de vero moda petite,VeroModa,63.0,cream,M,midi
237,vestido midi color crema estilo jersey de punto de vero moda petite,VeroModa,63.0,cream,L,midi
238,vestido midi color crema estilo jersey de punto de vero moda petite,VeroModa,63.0,cream,XL,midi
239,vestido midi negro fruncido con lazada lateral de vero moda,VeroModa,67.0,black,XXS,midi
240,vestido midi negro fruncido con lazada lateral de vero moda,VeroModa,67.0,black,XS,midi
241,vestido midi negro fruncido con lazada lateral de vero moda,VeroModa,67.0,black,S,midi
242,vestido midi negro fruncido con lazada lateral de vero moda,VeroModa,67.0,black,M,midi
243,vestido midi negro fruncido con lazada lateral de vero moda,VeroModa,67.0,black,L,midi
244,vestido midi negro fruncido con lazada lateral de vero moda,VeroModa,67.0,black,XL,midi
245,vestido midi negro fruncido con lazada lateral de vero moda,VeroModa,67.0,black,XXL,midi
246,vestido semilargo color crema con bordes ondulados de punto texturizado de vero moda,VeroModa,65.0,birch,XXS,largo
247,vestido semilargo color crema con bordes ondulados de punto texturizado de vero moda,VeroModa,65.0,birch,XS,largo
248,vestido semilargo color crema con bordes ondulados de punto texturizado de vero moda,VeroModa,65.0,birch,S,largo
249,vestido semilargo color crema con bordes ondulados de punto texturizado de vero moda,VeroModa,65.0,birch,M,largo
250,vestido semilargo color crema con bordes ondulados de punto texturizado de vero moda,VeroModa,65.0,birch,L,largo
251,vestido semilargo color crema con bordes ondulados de punto texturizado de vero moda,VeroModa,65.0,birch,XL,largo
252,vestido semilargo color crema con bordes ondulados de punto texturizado de vero moda,VeroModa,65.0,birch,XXL,largo
253,vestido corto color crudo plisado con cuello alto de vero moda,VeroModa,63.0,stone,XXS,corto
254,vestido corto color crudo plisado con cuello alto de vero moda,VeroModa,63.0,stone,XS,corto
255,vestido corto color crudo plisado con cuello alto de vero moda,VeroModa,63.0,stone,S,corto
256,vestido corto color crudo plisado con cuello alto de vero moda,VeroModa,63.0,stone,M,corto
257,vestido corto color crudo plisado con cuello alto de vero moda,VeroModa,63.0,stone,L,corto
258,vestido corto color crudo plisado con cuello alto de vero moda,VeroModa,63.0,stone,XL,corto
259,vestido corto color crudo plisado con cuello alto de vero moda,VeroModa,63.0,stone,XXL,corto
260,vestido corto color crudo plisado con cuello alto de vero moda petite,VeroModa,63.0,stone,XXS,corto
261,vestido corto color crudo plisado con cuello alto de vero moda petite,VeroModa,63.0,stone,XS,corto
262,vestido corto color crudo plisado con cuello alto de vero moda petite,VeroModa,63.0,stone,S,corto
263,vestido corto color crudo plisado con cuello alto de vero moda petite,VeroModa,63.0,stone,M,corto
264,vestido corto color crudo plisado con cuello alto de vero moda petite,VeroModa,63.0,stone,L,corto
265,vestido corto color crudo plisado con cuello alto de vero moda petite,VeroModa,63.0,stone,XL,corto
266,vestido midi negro con cuello halter y detalle retorcido de punto liso de vero moda,VeroModa,65.0,black ,XXS,midi
267,vestido midi negro con cuello halter y detalle retorcido de punto liso de vero moda,VeroModa,65.0,black ,XS,midi
268,vestido midi negro con cuello halter y detalle retorcido de punto liso de vero moda,VeroModa,65.0,black ,S,midi
269,vestido midi negro con cuello halter y detalle retorcido de punto liso de vero moda,VeroModa,65.0,black ,M,midi
270,vestido midi negro con cuello halter y detalle retorcido de punto liso de vero moda,VeroModa,65.0,black ,L,midi
271,vestido midi negro con cuello halter y detalle retorcido de punto liso de vero moda,VeroModa,65.0,black ,XL,midi
272,vestido midi negro con cuello halter y detalle retorcido de punto liso de vero moda,VeroModa,65.0,black ,XXL,midi
273,vestido corto monocromático abotonado de manga larga con estampado floral de vero moda,VeroModa,65.0,black,XXS,corto
274,vestido corto monocromático abotonado de manga larga con estampado floral de vero moda,VeroModa,65.0,black,XS,corto
275,vestido corto monocromático abotonado de manga larga con estampado floral de vero moda,VeroModa,65.0,black,S,corto
276,vestido corto monocromático abotonado de manga larga con estampado floral de vero moda,VeroModa,65.0,black,M,corto
277,vestido corto monocromático abotonado de manga larga con estampado floral de vero moda,VeroModa,65.0,black,L,corto
278,vestido corto monocromático abotonado de manga larga con estampado floral de vero moda,VeroModa,65.0,black,XL,corto
