,nombre,marca,precio,color,talla,stock,categoria
227,fitted lace-trim romper,Forever21,29.99,negro,XS,63.0,
228,fitted lace-trim romper,Forever21,29.99,negro,S,147.0,
229,fitted lace-trim romper,Forever21,29.99,negro,M,126.0,
230,fitted lace-trim romper,Forever21,29.99,negro,L,84.0,
231,fitted lace-trim romper,Forever21,29.99,negro,XL,62.0,
232,ruched two-tone mini tube dress,Forever21,34.99,negro,XS,39.0,mini
233,ruched two-tone mini tube dress,Forever21,34.99,negro,S,91.0,mini
234,ruched two-tone mini tube dress,Forever21,34.99,negro,M,77.0,mini
235,ruched two-tone mini tube dress,Forever21,34.99,negro,L,52.0,mini
236,ruched two-tone mini tube dress,Forever21,34.99,negro,XL,39.0,mini
237,sweetheart bodycon mini dress,Forever21,34.99,negro,XS,42.0,mini
238,sweetheart bodycon mini dress,Forever21,34.99,negro,S,98.0,mini
239,sweetheart bodycon mini dress,Forever21,34.99,negro,M,84.0,mini
240,sweetheart bodycon mini dress,Forever21,34.99,negro,L,54.0,mini
241,sweetheart bodycon mini dress,Forever21,34.99,negro,XL,41.0,mini
242,off-the-shoulder corset mini dress,Forever21,39.99,negro,XS,48.0,mini
243,off-the-shoulder corset mini dress,Forever21,39.99,negro,S,112.0,mini
244,off-the-shoulder corset mini dress,Forever21,39.99,negro,M,96.0,mini
245,off-the-shoulder corset mini dress,Forever21,39.99,negro,L,64.0,mini
246,off-the-shoulder corset mini dress,Forever21,39.99,negro,XL,48.0,mini
247,plus size glitter knit midi dress,Forever21,39.99,plata,0X,34.0,midi
248,plus size glitter knit midi dress,Forever21,39.99,plata,1X,51.0,midi
249,plus size glitter knit midi dress,Forever21,39.99,plata,2X,51.0,midi
250,plus size glitter knit midi dress,Forever21,39.99,plata,3X,50.0,midi
251,plus size glitter knit midi dress,Forever21,39.99,plata,4X,17.0,midi
252,plus size halter m-slit mini dress,Forever21,39.99,negro,0X,26.0,mini
253,plus size halter m-slit mini dress,Forever21,39.99,negro,1X,38.0,mini
254,plus size halter m-slit mini dress,Forever21,39.99,negro,2X,38.0,mini
255,plus size halter m-slit mini dress,Forever21,39.99,negro,3X,39.0,mini
256,plus size halter m-slit mini dress,Forever21,39.99,negro,4X,13.0,mini
257,belted mini sweater dress,Forever21,44.99,negro,XS,117.0,mini
258,belted mini sweater dress,Forever21,44.99,negro,S,272.0,mini
259,belted mini sweater dress,Forever21,44.99,negro,M,234.0,mini
260,belted mini sweater dress,Forever21,44.99,negro,L,156.0,mini
261,belted mini sweater dress,Forever21,44.99,negro,XL,117.0,mini
262,belted mini sweater dress,Forever21,44.99,gris,XS,60.0,mini
263,belted mini sweater dress,Forever21,44.99,gris,S,140.0,mini
264,belted mini sweater dress,Forever21,44.99,gris,M,120.0,mini
265,belted mini sweater dress,Forever21,44.99,gris,L,80.0,mini
266,belted mini sweater dress,Forever21,44.99,gris,XL,60.0,mini
267,belted mini sweater dress,Forever21,44.99,beige,XS,78.0,mini
268,belted mini sweater dress,Forever21,44.99,beige,S,182.0,mini
269,belted mini sweater dress,Forever21,44.99,beige,M,156.0,mini
270,belted mini sweater dress,Forever21,44.99,beige,L,103.0,mini
271,belted mini sweater dress,Forever21,44.99,beige,XL,78.0,mini
272,sheer lace bodycon mini dress,Forever21,29.99,negro,XS,48.0,mini
273,sheer lace bodycon mini dress,Forever21,29.99,negro,S,118.0,mini
274,sheer lace bodycon mini dress,Forever21,29.99,negro,M,94.0,mini
